Rank,Model,Model Type,Open Weights,Instruction Tuned,ST Compatible,Modalities,License,Release Date,Memory (MB),Zero-shot,Active Params (B),Total Params (B),Embedding Dim,Max Tokens,Openness Score,Openness: Open weights,Openness: Open license,Openness: Training code,Openness: Training data,Openness: Paper,Openness: Model card,Mean (Task),Mean (TaskType),Classification,Clustering,PairClassification,Reranking,Retrieval,STS,Summarization
12,jinaai/jina-embeddings-v5-text-small,dense,true,true,true,text,cc-by-nc-4.0,2026-02-17,1137,NA,0.596,0.596,1024,32768,3,true,false,false,false,true,true,71.78,65.68,90.75,54.69,84.95,49.38,60.07,88.13,31.77
14,NovaSearch/jasper_en_vision_language_v1,dense,true,true,true,text,apache-2.0,2024-12-11,3802,51,1.565,1.565,8960,131072,6,true,true,true,true,true,true,71.41,66.65,90.27,60.52,88.14,50.00,56.05,84.37,37.19
15,codefuse-ai/F2LLM-v2-4B,dense,true,true,true,text,apache-2.0,2026-03-09,15344,43,4.022,4.022,2560,40960,6,true,true,true,true,true,true,72.41,66.68,91.68,62.03,85.10,50.07,59.13,84.22,34.54
16,codefuse-ai/F2LLM-4B,dense,true,true,true,text,apache-2.0,2025-09-18,7672,43,4.022,4.022,2560,8192,6,true,true,true,true,true,true,73.67,67.29,91.68,68.54,83.75,50.05,59.63,84.20,33.19
17,jinaai/jina-embeddings-v5-omni-nano,dense,true,true,true,video; audio; image; text,cc-by-nc-4.0,2026-04-01,1881,NA,0.986,0.986,768,8192,3,true,false,false,false,true,true,71.11,65.22,90.07,53.49,84.74,49.23,58.80,88.28,31.95
17,jinaai/jina-embeddings-v5-text-nano,dense,true,true,true,text,cc-by-nc-4.0,2026-02-17,404,NA,0.212,0.212,768,8192,3,true,false,false,false,true,true,71.11,65.22,90.07,53.49,84.74,49.23,58.80,88.28,31.95
19,codefuse-ai/F2LLM-v2-1.7B,dense,true,true,true,text,apache-2.0,2026-03-09,6563,43,1.721,1.721,2048,40960,6,true,true,true,true,true,true,71.63,66.37,91.39,60.91,85.83,49.24,56.65,84.43,36.15
20,KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,dense,true,true,true,text,apache-2.0,2025-09-30,1885,58,0.494,0.494,896,512,5,true,true,false,true,true,true,71.29,65.31,90.50,58.12,86.63,47.42,58.45,84.82,31.21
21,Linq-AI-Research/Linq-Embed-Mistral,dense,true,true,true,text,cc-by-nc-4.0,2024-05-29,13563,95,7.111,7.111,4096,32768,3,true,false,false,false,true,true,69.80,65.29,83.00,54.07,88.44,49.44,60.14,84.69,37.26
22,Salesforce/SFR-Embedding-Mistral,dense,true,true,true,text,cc-by-nc-4.0,2024-01-24,13563,85,7.111,7.111,4096,32768,3,true,false,false,false,true,true,69.31,64.94,80.47,54.93,88.59,50.15,59.33,84.77,36.32
23,nvidia/NV-Embed-v2,dense,true,true,true,text,cc-by-nc-4.0,2024-09-09,14975,51,7.85,7.85,4096,32768,3,true,false,false,false,true,true,69.81,65.00,87.19,47.66,88.69,49.61,62.84,83.82,35.21
24,Qwen/Qwen3-Embedding-0.6B,dense,true,true,true,text,apache-2.0,2025-06-05,1136,95,0.596,0.596,1024,32768,4,true,true,false,false,true,true,70.47,64.72,84.58,54.05,84.37,48.18,61.83,86.57,33.43
25,codefuse-ai/F2LLM-1.7B,dense,true,true,true,text,apache-2.0,2025-09-18,3282,43,1.721,1.721,2048,8192,6,true,true,true,true,true,true,72.01,65.67,90.86,64.13,83.27,49.84,57.83,83.90,29.88
26,google/text-embedding-005,dense,false,true,false,text,,2024-11-18,,95,,,768,2048,1,false,false,false,false,false,true,69.60,64.77,86.03,51.91,87.62,48.84,58.77,85.18,35.05
27,Alibaba-NLP/gte-Qwen2-7B-instruct,dense,true,true,true,text,apache-2.0,2024-06-15,29040,NA,7.069,7.069,3584,32768,4,true,true,false,false,true,true,70.72,65.77,88.52,58.97,85.90,50.47,58.09,82.69,35.74
28,google/text-embedding-004,dense,false,true,false,text,,2024-05-14,,95,,,768,2048,1,false,false,false,false,false,true,69.53,64.82,86.03,51.52,87.65,48.48,59.06,84.84,36.12
29,IEITYuan/Yuan-embedding-2.0-en,dense,true,true,true,text,apache-2.0,2025-11-27,2272,95,0.596,0.596,1024,2048,3,true,true,false,false,false,true,71.74,65.23,84.35,51.70,81.96,53.27,70.69,84.89,29.71
30,ai-sage/Giga-Embeddings-instruct,dense,true,true,true,text,mit,2025-09-23,12865,NA,3.227,3.227,2048,4096,3,true,true,false,false,false,true,71.07,66.15,90.77,56.19,86.01,49.72,59.68,82.92,37.73
31,NovaSearch/stella_en_1.5B_v5,dense,true,true,true,text,mit,2024-07-12,5887,51,1.54,1.54,8960,131072,5,true,true,true,false,true,true,69.43,65.32,89.38,57.06,88.02,50.19,52.42,83.27,36.91
32,google/embeddinggemma-300m,dense,true,true,true,text,gemma,2025-09-04,1155,95,0.308,0.308,768,2048,3,true,false,false,false,true,true,69.67,65.11,87.55,56.55,87.29,47.43,55.69,83.61,37.64
33,NovaSearch/stella_en_400M_v5,dense,true,true,true,text,mit,2024-07-12,1660,51,0.435,0.435,4096,8192,5,true,true,true,false,true,true,69.39,64.84,88.25,57.65,87.17,49.60,52.73,83.93,34.53
34,codefuse-ai/F2LLM-v2-0.6B,dense,true,true,true,text,apache-2.0,2026-03-09,2274,43,0.596,0.596,1024,40960,6,true,true,true,true,true,true,69.97,64.58,90.54,58.24,85.30,47.68,54.31,83.53,32.47
35,ICT-TIME-and-Querit/ICT-TIME-and-Querit-embedding-v1,dense,true,true,true,text,apache-2.0,2026-05-02,7671,80,4.022,4.022,2560,32768,4,true,true,false,false,true,true,70.12,65.46,87.53,56.35,85.76,49.53,59.37,81.76,37.95
36,intfloat/e5-mistral-7b-instruct,dense,true,true,true,text,mit,2024-02-08,13563,95,7.111,7.111,4096,32768,4,true,true,false,false,true,true,67.97,64.00,79.85,51.44,88.42,49.78,57.62,84.32,36.57
37,BidirLM/BidirLM-Omni-2.5B-Embedding,dense,true,true,true,video; audio; image; text,apache-2.0,2026-04-07,4663,100,2.445,2.445,2048,32768,5,true,true,false,true,true,true,67.47,62.50,82.17,51.54,86.18,47.82,55.07,84.62,30.08
38,Tarka-AIR/Tarka-Embedding-350M-V1,dense,true,true,true,text,,2025-11-11,676,95,0.354,0.354,1024,128000,3,true,false,false,false,true,true,69.29,63.30,88.43,55.74,83.97,47.78,55.15,84.59,27.43
39,Salesforce/SFR-Embedding-2_R,dense,true,true,true,text,cc-by-nc-4.0,2024-06-14,13563,85,7.111,7.111,4096,32768,3,true,false,false,false,true,true,69.82,65.31,90.54,59.39,88.09,48.99,53.75,80.86,35.54
40,Alibaba-NLP/gte-Qwen2-1.5B-instruct,dense,true,true,true,text,apache-2.0,2024-07-29,6776,NA,1.543,1.543,8960,32768,4,true,true,false,false,true,true,67.20,63.26,85.84,53.54,87.52,49.25,50.25,82.51,33.94
41,codefuse-ai/F2LLM-0.6B,dense,true,true,true,text,apache-2.0,2025-09-18,1137,43,0.596,0.596,1024,8192,6,true,true,true,true,true,true,70.03,63.29,90.56,60.36,81.49,47.88,55.70,82.48,24.54
42,ICT-TIME-and-Querit/BOOM_4B_v1,dense,true,true,true,text,apache-2.0,2026-01-31,7671,80,4.022,4.022,2560,32768,4,true,true,false,false,true,true,,,87.51,56.60,85.57,49.31,57.00,82.30,
43,GeoGPT-Research-Project/GeoEmbedding,dense,true,true,true,text,apache-2.0,2025-04-22,27625,58,7.111,7.111,4096,32768,3,true,true,false,false,false,true,70.21,64.13,89.67,56.50,82.51,48.32,60.91,80.60,30.43
44,GritLM/GritLM-7B,dense,true,true,false,text,apache-2.0,2024-02-15,13813,95,7.24,7.24,4096,32768,5,true,true,true,false,true,true,67.07,63.22,81.25,50.82,87.29,49.59,54.95,83.03,35.65
45,avsolatorio/GIST-large-Embedding-v0,dense,true,false,true,text,mit,2024-02-14,1278,80,0.335,0.335,1024,512,4,true,true,false,false,true,true,66.25,61.96,78.91,48.84,86.70,48.76,54.52,84.44,31.52
46,codefuse-ai/F2LLM-v2-330M,dense,true,true,true,text,apache-2.0,2026-03-09,1275,43,0.334,0.334,896,40960,6,true,true,true,true,true,true,68.86,63.07,89.70,56.55,84.20,47.00,53.34,82.81,27.85
47,nvidia/NV-Embed-v1,dense,true,true,true,text,cc-by-nc-4.0,2024-09-13,14975,51,7.85,7.85,4096,32768,3,true,false,false,false,true,true,68.32,63.37,84.11,49.50,87.05,49.16,60.13,82.20,31.40
48,mixedbread-ai/mxbai-embed-large-v1,dense,true,true,true,text,apache-2.0,2024-03-07,639,100,0.335,0.335,1024,512,4,true,true,false,false,true,true,66.26,62.04,79.10,47.48,87.20,48.05,55.40,84.42,32.63
49,GritLM/GritLM-8x7B,dense,true,true,false,text,apache-2.0,2024-02-15,89079,95,13,57.92,32768,32768,5,true,true,true,false,true,true,66.16,62.42,79.98,51.48,85.23,49.22,52.46,82.93,35.65
50,WhereIsAI/UAE-Large-V1,dense,true,true,true,text,mit,2023-12-04,1278,100,0.335,0.335,1024,512,4,true,true,false,false,true,true,66.40,61.85,79.08,47.86,87.25,48.35,55.91,84.37,30.13
51,google/text-multilingual-embedding-002,dense,false,true,false,text,,2024-05-14,,95,,,768,2048,1,false,false,false,false,false,true,67.67,63.52,84.65,50.41,86.60,47.48,54.70,83.94,36.84
52,Cohere/Cohere-embed-english-v3.0,dense,false,true,false,text,,2023-11-02,,NA,,,1024,512,1,false,false,false,false,false,true,66.21,61.77,79.68,49.31,85.84,47.19,55.69,82.40,32.29
53,Alibaba-NLP/gte-Qwen1.5-7B-instruct,dense,true,true,true,text,apache-2.0,2024-04-20,29449,NA,7.099,7.099,4096,32768,4,true,true,false,false,true,true,,,81.91,60.91,87.41,,56.19,82.05,36.24
54,Cohere/Cohere-embed-multilingual-v3.0,dense,false,true,false,text,,2023-11-02,,NA,,,512,,1,false,false,false,false,false,true,66.01,61.43,79.26,48.05,86.15,47.36,55.69,83.05,30.43
55,jinaai/jina-embeddings-v3,dense,true,true,true,text,cc-by-nc-4.0,2024-09-18,1092,97,0.572,0.572,1024,8192,3,true,false,false,false,true,true,,,,47.41,84.02,47.94,54.29,85.82,32.90
56,voyageai/voyage-3-m-exp,dense,false,true,false,text,,2025-01-08,,46,6.918,6.918,2048,32000,1,false,false,false,false,false,true,,,95.49,45.91,86.13,48.31,,83.96,27.74
57,intfloat/multilingual-e5-large-instruct,dense,true,true,true,text,mit,2024-02-08,1068,95,0.56,0.56,1024,514,4,true,true,false,false,true,true,65.53,61.21,75.54,49.89,86.24,48.74,53.47,84.72,29.89
58,avsolatorio/GIST-Embedding-v0,dense,true,false,true,text,mit,2024-01-31,418,80,0.109,0.109,768,512,4,true,true,false,false,true,true,65.50,61.40,78.16,48.50,86.33,47.52,53.59,83.35,32.32
59,voyageai/voyage-large-2-instruct,dense,false,true,false,text,,2024-05-05,,100,,,1024,16000,1,false,false,false,false,false,true,,,81.70,50.05,91.31,50.09,,82.81,34.35
60,BAAI/bge-large-en-v1.5,dense,true,true,true,text,mit,2023-09-12,1242,100,0.335,0.335,1024,512,5,true,true,false,true,true,true,65.89,61.87,78.34,48.01,87.13,48.26,55.44,82.79,33.13
61,McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised,dense,true,true,false,text,mit,2024-04-09,27126,95,7.153,7.153,4096,32768,5,true,true,true,false,true,true,64.57,60.80,79.74,44.10,87.99,47.74,51.27,83.70,31.05
62,infgrad/stella-base-en-v2,dense,true,false,true,text,mit,2023-10-19,,NA,0.109,0.109,,512,3,true,true,false,false,false,true,64.90,60.97,79.37,47.50,86.51,47.31,51.56,82.73,31.78
63,avsolatorio/GIST-small-Embedding-v0,dense,true,false,true,text,mit,2024-02-03,127,80,0.033,0.033,384,512,4,true,true,false,false,true,true,64.76,60.70,78.15,47.98,84.78,47.35,52.00,82.80,31.81
64,Tarka-AIR/Tarka-Embedding-150M-V1,dense,true,true,true,text,gemma,2025-11-04,576,95,0.156,0.156,768,2048,3,true,false,false,false,true,true,66.39,61.35,86.28,52.02,81.65,45.66,51.52,81.48,30.83
65,thenlper/gte-large,dense,true,false,true,text,mit,2023-07-27,639,NA,0.335,0.335,1024,512,4,true,true,false,false,true,true,64.77,60.86,75.47,48.20,85.08,47.84,53.29,83.27,32.90
66,avsolatorio/NoInstruct-small-Embedding-v0,dense,true,false,true,text,mit,2024-05-01,127,NA,0.033,0.033,384,512,3,true,true,false,false,false,true,,,,47.95,85.06,47.02,53.71,82.75,31.31
67,Lajavaness/bilingual-embedding-large,dense,true,false,true,text,apache-2.0,2024-06-24,2136,97,0.56,0.56,1024,514,4,true,true,false,false,true,true,63.77,60.20,77.17,46.53,85.62,46.25,46.86,86.00,32.95
68,BAAI/bge-base-en-v1.5,dense,true,true,true,text,mit,2023-09-11,390,100,0.109,0.109,768,512,5,true,true,false,true,true,true,65.14,60.77,77.69,47.42,86.56,46.66,54.75,82.12,30.19
69,prdev/mini-gte,dense,true,false,true,text,apache-2.0,2025-01-28,253,97,0.066,0.066,768,512,3,true,true,false,false,false,true,65.06,60.65,79.95,47.89,84.78,46.86,53.23,81.55,30.31
70,VPLabs/SearchMap_Preview,dense,true,true,true,text,mit,2025-03-05,1660,NA,0.435,0.435,4096,8192,4,true,true,false,false,true,true,64.08,60.47,74.97,48.47,84.94,47.90,52.21,81.56,33.25
71,codefuse-ai/F2LLM-v2-160M,dense,true,true,true,text,apache-2.0,2026-03-09,607,43,0.159,0.159,640,40960,6,true,true,true,true,true,true,65.93,60.82,87.13,52.55,82.08,45.26,49.33,80.76,28.63
72,Cohere/Cohere-embed-english-light-v3.0,dense,false,true,false,text,,2023-11-02,,NA,,,384,512,1,false,false,false,false,false,true,64.59,60.57,78.52,47.62,85.05,45.99,53.17,80.83,32.80
73,Haon-Chen/speed-embedding-7b-instruct,dense,true,false,false,text,mit,2024-10-31,13563,NA,7.111,7.111,,32768,4,true,true,false,false,true,true,60.62,57.02,76.31,42.27,88.32,50.29,39.06,84.74,18.16
74,w601sxs/b1ade-embed,dense,true,false,true,text,mit,2025-03-10,1278,100,0.335,0.335,1024,4096,4,true,true,false,false,true,true,,,78.99,,87.07,48.60,,,
75,LCO-Embedding/LCO-Embedding-Omni-7B,dense,true,true,false,video; audio; image; text,mit,2025-10-15,17043,100,8.932,8.932,3584,32768,4,true,true,false,false,true,true,63.24,60.69,79.74,45.73,84.31,46.74,45.27,83.37,39.65
76,MongoDB/mdbr-leaf-mt,dense,true,true,true,text,apache-2.0,2025-08-27,86,100,0.023,0.023,1024,512,4,true,true,false,false,true,true,63.97,60.00,76.73,46.73,84.04,47.31,51.38,82.58,31.23
77,thenlper/gte-base,dense,true,false,true,text,mit,2023-07-27,209,NA,0.109,0.109,768,512,4,true,true,false,false,true,true,63.90,59.94,75.04,47.74,84.68,47.17,51.90,82.17,30.90
78,HIT-TMG/KaLM-embedding-multilingual-mini-v1,dense,true,false,false,text,mit,2024-08-27,1885,58,0.494,0.494,896,512,4,true,true,false,false,true,true,64.13,58.48,77.51,45.37,84.20,46.09,54.22,82.17,19.81
79,BAAI/bge-small-en-v1.5,dense,true,true,true,text,mit,2023-09-12,127,100,0.033,0.033,512,512,5,true,true,false,true,true,true,64.30,59.93,76.56,47.02,84.95,46.94,53.86,81.28,28.92
80,sdadas/mmlw-e5-large,dense,true,false,true,text,apache-2.0,2023-11-17,2136,95,0.56,0.56,1024,514,4,true,true,false,false,true,true,62.32,59.70,79.63,48.30,85.56,47.63,41.37,81.35,34.07
81,openai/text-embedding-3-large,dense,false,false,false,text,,2024-01-25,,NA,,,3072,8191,1,false,false,false,false,false,true,,,79.15,48.90,,,57.98,81.45,34.31
82,abhinand/MedEmbed-small-v0.1,dense,true,false,true,text,apache-2.0,2024-10-20,127,95,0.033,0.033,384,512,4,true,true,false,false,true,true,63.98,59.80,76.11,47.04,84.71,47.20,52.85,81.28,29.45
83,sdadas/mmlw-roberta-large,dense,true,false,true,text,apache-2.0,2023-11-17,1659,100,0.435,0.435,1024,514,4,true,true,false,false,true,true,61.80,59.45,79.66,47.89,85.20,47.56,39.69,81.20,34.97
84,mixedbread-ai/deepset-mxbai-embed-de-large-v1,dense,true,false,true,text,apache-2.0,2024-07-12,929,NA,0.487,0.487,1024,514,3,true,true,false,false,false,true,63.43,58.94,75.72,44.44,85.57,43.73,51.95,83.06,28.12
85,nomic-ai/nomic-embed-text-v1,dense,true,true,true,text,apache-2.0,2024-01-31,522,87,0.137,0.137,768,8192,5,true,true,true,false,true,true,63.60,59.60,76.77,46.64,85.15,45.71,50.72,81.78,30.40
86,codefuse-ai/F2LLM-v2-80M,dense,true,true,true,text,apache-2.0,2026-03-09,305,43,0.08,0.08,320,40960,6,true,true,true,true,true,true,64.55,59.73,86.10,50.69,80.19,44.94,47.54,79.71,28.95
87,thenlper/gte-small,dense,true,false,true,text,mit,2023-07-27,64,NA,0.033,0.033,384,512,4,true,true,false,false,true,true,63.22,59.30,74.82,47.36,83.66,46.96,50.26,81.89,30.14
88,intfloat/e5-large,dense,true,true,true,text,apache-2.0,2022-12-26,1278,100,0.335,0.335,1024,512,4,true,true,false,false,true,true,63.13,59.68,75.61,45.88,85.94,45.43,49.64,82.00,33.26
89,LCO-Embedding/LCO-Embedding-Omni-3B,dense,true,true,false,video; audio; image; text,mit,2025-10-23,8978,100,4.703,4.703,2048,32768,4,true,true,false,false,true,true,62.33,59.57,78.92,45.07,84.27,45.17,43.79,82.83,36.98
90,HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1,dense,true,true,true,text,mit,2024-10-23,1885,58,0.494,0.494,896,512,4,true,true,false,false,true,true,62.20,55.80,82.90,44.31,84.04,45.87,44.38,81.96,7.14
91,ManiacLabs/miniac-embed,dense,true,true,true,text,apache-2.0,2026-02-19,127,100,0.033,0.033,1024,512,3,true,true,false,false,false,true,62.08,58.57,76.16,45.85,83.76,46.36,45.00,82.81,30.03
92,sdadas/mmlw-e5-base,dense,true,false,true,text,apache-2.0,2023-11-17,1061,95,0.278,0.278,768,514,4,true,true,false,false,true,true,61.43,58.61,77.88,47.11,84.88,46.40,40.21,81.92,31.87
93,Snowflake/snowflake-arctic-embed-l-v2.0,dense,true,true,true,text,apache-2.0,2024-12-04,2166,95,0.568,0.568,1024,8192,4,true,true,false,false,true,true,63.60,59.81,73.37,44.37,83.00,47.47,58.56,78.05,33.83
94,ibm-granite/granite-embedding-english-r2,dense,true,false,true,text,apache-2.0,2025-08-15,284,87,0.149,0.149,768,8192,4,true,true,false,false,true,true,62.84,58.60,70.71,47.20,79.34,49.10,56.43,78.12,29.31
95,sdadas/mmlw-roberta-base,dense,true,false,true,text,apache-2.0,2023-11-17,475,100,0.124,0.124,768,514,4,true,true,false,false,true,true,61.15,58.28,77.67,46.26,84.54,46.69,40.15,81.81,30.83
96,intfloat/e5-large-v2,dense,true,true,true,text,mit,2024-02-08,1278,100,0.335,0.335,1024,514,4,true,true,false,false,true,true,62.79,59.40,76.44,45.23,86.06,45.72,49.31,80.67,32.34
97,deepvk/USER-bge-m3,dense,true,false,true,text,apache-2.0,2024-07-05,1370,97,0.359,0.359,1024,8192,4,true,true,false,false,true,true,62.06,59.32,77.28,41.99,84.88,46.49,46.55,82.38,35.66
98,avsolatorio/GIST-all-MiniLM-L6-v2,dense,true,false,true,text,mit,2024-02-03,87,80,0.023,0.023,384,512,4,true,true,false,false,true,true,62.06,58.18,75.58,46.23,83.39,47.14,47.42,80.50,27.00
99,TencentBAC/Conan-embedding-v2,dense,false,true,true,text,apache-2.0,2025-04-10,,58,,,3584,32768,2,false,true,false,false,false,true,,,90.98,,93.47,49.07,,,
100,nomic-ai/nomic-embed-text-v1-ablated,dense,true,true,true,text,apache-2.0,2024-01-15,,87,0.137,0.137,768,8192,4,true,true,true,false,false,true,62.93,59.05,76.76,46.09,84.59,44.44,50.81,79.49,31.14
101,Lajavaness/bilingual-embedding-base,dense,true,false,true,text,apache-2.0,2024-06-26,1061,97,0.278,0.278,768,514,4,true,true,false,false,true,true,61.32,57.79,75.76,44.60,85.01,45.47,43.25,82.79,27.64
102,Alibaba-NLP/gte-multilingual-base,dense,true,false,true,text,apache-2.0,2024-07-20,582,95,0.305,0.305,768,8192,4,true,true,false,false,true,true,,,,45.95,84.25,46.81,50.87,81.87,24.75
103,intfloat/e5-base-v2,dense,true,true,true,text,mit,2024-02-08,418,100,0.109,0.109,768,512,4,true,true,false,false,true,true,62.67,59.43,75.48,45.20,85.63,45.13,49.67,80.64,34.26
104,openai/text-embedding-3-small,dense,false,false,false,text,,2024-01-25,,NA,,,1536,8191,1,false,false,false,false,false,true,,,77.56,47.46,,,53.48,81.35,32.49
105,ibm-granite/granite-embedding-125m-english,dense,true,false,true,text,apache-2.0,2024-12-18,238,87,0.125,0.125,768,512,4,true,true,false,false,true,true,62.08,58.14,68.29,47.18,79.63,49.35,55.65,77.56,29.34
106,Cohere/Cohere-embed-multilingual-light-v3.0,dense,false,true,false,text,,2023-11-02,,NA,,,384,512,1,false,false,false,false,false,true,62.75,58.49,75.09,45.23,83.95,44.95,52.14,79.86,28.17
107,Snowflake/snowflake-arctic-embed-m-v2.0,dense,true,true,true,text,apache-2.0,2024-12-04,1165,95,0.305,0.305,768,8192,4,true,true,false,false,true,true,62.57,58.51,71.44,43.62,82.25,46.88,58.41,76.64,30.31
108,nomic-ai/nomic-embed-text-v1-unsupervised,dense,true,true,true,text,apache-2.0,2024-01-15,,87,0.137,0.137,768,8192,4,true,true,true,false,false,true,62.29,58.50,75.86,44.58,83.68,45.09,49.37,80.59,30.34
109,yibinlei/LENS-d8000,dense,true,true,false,text,apache-2.0,2025-01-17,27125,58,7.11,7.11,8000,32768,5,true,true,false,true,true,true,,,89.47,,87.98,48.60,,,
110,nomic-ai/nomic-embed-text-v1.5,dense,true,true,true,text,apache-2.0,2024-02-10,522,87,0.137,0.137,768,8192,5,true,true,true,false,true,true,62.20,58.52,75.71,47.55,85.16,46.01,47.97,78.70,28.56
111,intfloat/e5-base,dense,true,true,true,text,apache-2.0,2022-12-26,418,100,0.109,0.109,768,512,4,true,true,false,false,true,true,61.79,58.67,75.20,43.77,85.08,44.86,47.70,80.70,33.38
112,OrdalieTech/Solon-embeddings-large-0.1,dense,true,false,false,text,mit,2023-12-09,2136,NA,0.56,0.56,1024,514,3,true,true,false,false,false,true,61.48,58.49,75.59,42.68,84.46,45.01,47.51,80.23,33.91
113,yibinlei/LENS-d4000,dense,true,true,false,text,apache-2.0,2025-01-17,27125,58,7.11,7.11,4000,32768,5,true,true,false,true,true,true,,,89.09,,87.93,48.68,,,
114,sentence-transformers/all-mpnet-base-v2,dense,true,false,true,text,apache-2.0,2021-08-30,418,100,0.109,0.109,768,384,4,true,true,false,false,true,true,,,,46.55,83.04,48.41,44.54,80.36,23.73
115,intfloat/multilingual-e5-large,dense,true,true,true,text,mit,2024-02-08,2136,95,0.56,0.56,1024,514,4,true,true,false,false,true,true,,,,42.07,84.75,44.74,51.53,81.39,31.41
116,manu/bge-m3-custom-fr,dense,true,false,true,text,,2024-04-11,2166,97,0.568,0.568,1024,8192,2,true,false,false,false,false,true,61.22,58.38,76.68,40.94,84.82,46.01,45.91,81.17,33.11
117,Snowflake/snowflake-arctic-embed-l,dense,true,true,true,text,apache-2.0,2024-04-12,1274,95,0.335,0.335,1024,512,4,true,true,false,false,true,true,62.04,56.52,69.59,45.70,80.81,44.71,59.04,75.42,20.38
118,dwzhu/e5-base-4k,dense,true,false,false,text,mit,2024-03-28,,100,0.112,0.112,,4096,4,true,true,false,false,true,true,60.32,57.91,76.63,42.56,85.73,45.13,41.50,80.43,33.38
119,ibm-granite/granite-embedding-small-english-r2,dense,true,false,true,text,apache-2.0,2025-08-15,91,87,0.048,0.048,384,8192,4,true,true,false,false,true,true,61.07,56.88,68.15,46.53,78.62,47.63,53.93,76.59,26.74
120,izhx/udever-bloom-7b1,dense,true,false,false,text,https://huggingface.co/spaces/bigscience/license,2023-10-24,,100,,,,,3,true,false,false,false,true,true,,,73.07,39.08,85.40,46.41,,,23.58
121,voyageai/voyage-3,dense,false,true,false,text,,2024-09-18,,100,,,1024,32000,1,false,false,false,false,false,true,61.38,57.25,69.72,44.85,78.55,46.72,53.46,78.59,28.87
122,Mihaiii/Ivysaur,dense,true,false,true,text,mit,2024-04-27,87,NA,0.023,0.023,384,512,3,true,true,false,false,false,true,60.80,57.29,74.54,44.09,83.39,45.74,45.83,79.56,27.87
123,Snowflake/snowflake-arctic-embed-m-v1.5,dense,true,true,true,text,apache-2.0,2024-07-08,415,95,0.109,0.109,768,512,4,true,true,false,false,true,true,61.51,57.45,70.71,44.65,79.98,45.90,58.05,72.96,29.89
